Simple Melee Weapons;Club;1;sp;2;0.9
Simple Melee Weapons;Dagger;2;gp;1;0.5
Simple Melee Weapons;Greatclub;2;sp;10;4.5
Simple Melee Weapons;Handaxe;5;gp;2;0.9
Simple Melee Weapons;Javelin;5;sp;2;0.9
Simple Melee Weapons;Light hammer;2;gp;2;0.9
Simple Melee Weapons;Mace;5;gp;4;1.8
Simple Melee Weapons;Quarterstaff;2;sp;4;1.8
Simple Melee Weapons;Spear;1;gp;3;1.4
Simple Ranged Weapons;Crossbow. light;25;gp;5;2.3
Simple Ranged Weapons;Shortbow;25;gp;2;0.9
Martial Melee Weapons;Battleaxe;10;gp;4;1.8
Martial Melee Weapons;Greataxe;30;gp;7;3.2
Martial Melee Weapons;Greatsword;50;gp;6;2.7
Martial Melee Weapons;Longsword;15;gp;3;1.4
Martial Melee Weapons;Maul;10;gp;10;4.5
Martial Melee Weapons;Morningstar;15;gp;4;1.8
Martial Melee Weapons;Rapier;25;gp;2;0.9
Martial Melee Weapons;Scimitar;25;gp;3;1.4
Martial Melee Weapons;Shortsword;10;gp;2;0.9
Martial Melee Weapons;Trident;5;gp;4;1.8
Martial Melee Weapons;Warhammer;15;gp;2;0.9
Martial Ranged Weapons;Crossbow. hand;75;gp;3;1.4
Martial Ranged Weapons;Crossbow. heavy;50;gp;18;8.2
Martial Ranged Weapons;Longbow;50;gp;2;0.9
